Hanzi,Pinyin,Meaning
一,yī,det.: one
在,zài,"in, at, on, etc."
有,yǒu,"have, possess"
個,gè,"piece, item"
我,wǒ,"I, me, ego, self"
不,bù,"non, do not, no, nowise, not, nope, nae, no more, nix"
這,zhè,"now, this, det.: this, it*"
他,tā,"he, she, it, they (referring to inanimate things in object position)"
也,yě,"also, too, as well, either, even"
就,jiù,"then, at once, right away, an indicator strengthening speaker's evaluation"
人,rén,"person, people"
都,dōu,"all, even, already"
說,shuō,"speak, talk, explain, scold"
而,ér,conj.: and yet
們,men,plural marker for personal pronouns or for nouns referring to people
你,nǐ,you
了,le,particle: indicating new situation or completed action
要,yào,"want, need, must, should"
會,huì,"to be able, can, will, to meet"
對,duì,"correct, true, toward"
及,jí,"to reach, to catch up, and"
和,hé,"and, with, gentle, peaceful"
與,yǔ,"and, together with, to give"
以,yǐ,"using, taking, from a point on, because of"
很,hěn,"pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly"
種,zhǒng,m.[kind]
的,de,particle: emphasizing an action/situation
大,dà,"great, macro, old, very, vast, tall, big, high, much"
能,néng,can or to be capable of
著,zhe,[aspect]
她,tā,"she, her, she (neologism for {1ta1}[2]), )"
那,nà,det.: that
上,shàng,"on, above"
但,dàn,"conj.: but, yet, still, nevertheless, only, merely"
年,nián,year
還,hái,"still, yet, also, too, as well, besides"
可以,kěyǐ,"can, may"
最,zuì,"most, to the highest degree, much, superlatively"
自己,zìjǐ,"lonesome, number_one, own, ego, self, oneself, name"
為,wéi,by
來,lái,"come, arrive"
所,suǒ,that which
他們,tāmen,they
兩,liǎng,"det.: two, both (sides), either (side), a few, some"
各,gè,"det.: each, every"
可,kě,"can, may"
為,wéi,"be, become"
或,huò,"conj.: or, either or"
好,hǎo,good
等,děng,"conj.: and so on, etc"
又,yòu,"again, moreover"
將,jiāng,be about to
因為,yīnwèi,"conj.: because, for, on account of"
於,yú,"in, at, to, from, out of, by"
由,yóu,"from, via, by, through, owing/due to"
從,cóng,"from, since, through"
更,gèng,"more, still/even more, further, furthermore"
被,bèi,by
才,cái,"then and only then, just now, only (before a number)"
已,yǐ,already
者,zhě,"nominal suffix, one who, -er"
每,měi,det.: every
次,cì,"order, sequence, next"
把,bǎ,indicating pre-verbal object as thing dealt with by the action
三,sān,det.: three
什麼,shénme,"anything, what"
問題,wèntí,"problem, mishap, query, job, interface, question, inquiry, matter, enquiry, trouble, issue, worry, subject, topic, hang-up, business, quaere"
其,qí,"det.: its, his, her, their, it, this, that"
讓,ràng,"allow, induce sb. to do sth."
此,cǐ,"this, det.: this, here"
做,zuò,"make, do"
再,zài,"again, once more, further(more), in a higher degree, and then, not (do sth.) before"
所以,suǒyǐ,"conj.: so, therefore, as a result"
只,zhǐ,"only, merely"
則,zé,"then, in that case"
台灣,Táiwān,Taiwan
卻,què,"however, but, yet, indeed"
並,bìng,"to be side by side, simultaneously, and"
位,wèi,"location, digit, m.[general], , status, figure, throne, position, place, condition"
想,xiǎng,"think, suppose, reckon, consider, want to, would like to, feel like (doing sth.)"
去,qù,"to go, to leave, in order to"
呢,ne,particle: marking quesitons about subject already mentioned; indicating strong affirmation
學生,xuéshēng,"academic, pupil, pup, tutee, follower, scholar, schoolchild, schoolboy, alumnus, disciple, learner, scholastic, student"
表示,biǎoshì,"demonstrate, exhibit, prove, show, extend, manifest, express, stamp, signify, mark, witness, look, give, denote, evince, expression, bespeak, say, profess, mean, offer, utter, infer, indicate, represent, read, speak, refer, give tongue to, intend, be, shew, pay, stand_for, establish, stand for, present, render, betoken"
到,dào,up until
公司,gōngsī,"place of business, business organization, incorporation, establishment, business concern, office, concern, business establishment, business, enterprise, company, corporation"
將,jiāng,introducing object of main verb
如果,rúguǒ,conj.: if
社會,shèhuì,"community, society, monde, social, public"
看,kàn,"see, look at, watch, read, look upon, regard, look after, call on, visit"
小,xiǎo,"small, little, petty, minor;young"
天,tiān,"sky, heaven"
因此,yīncǐ,"conj.: therefore, consequently"
新,xīn,"new, fresh, up-to-date"
但是,dànshì,"conj.: but, however, yet, still"
它,tā,"they (neologism for {1ta1}[3] [4]), [4]), ), this, that, it"
中,zhōng,"center, middle, interior"
使,shǐ,"rarefy, piss_off, germinate, drench, blow_out, leave, cut_up, refract, run, dress_up, compose, shed, frizz, put_off, trot, send, strike, send (as envoy), peal, alienate, pull_in, tone_up, bring around, astound, sublease, wither, cripple, bed_down, address, rehearse, usage, warm, smell_out, throw, inflect, get_down, skunk, capsize, congeal, bowl_over, bring_on, unseat, ensure, amalgamate, pro"
工作,gōngzuò,"work, job"
全,quán,"det.: all, Surname, whole, Quan"
覺得,juéde,"imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive"
使用,shǐyòng,"use, employ, apply"
這些,zhèxiē,det.: these
裡,lǐ,inside
並,bìng,"actually, truly"
由於,yóuyú,conj.: owing/due/thanks to
時候,shíhòu,"day, moment, (a point in) time, (duration of) time, time"
知道,zhīdào,"tell, have, ken, understand, infer, wis, learn, cognize, gather, know, be aware of, wise up, savvy, mind, realize"
這樣,zhèyàng,"so, such, like this, this way"
一,yī,as soon as
